model,optimizer,filter,seed,steps,conv,t_drop100,floor_p50,floor_p10,floor_p90,auc,final_grad
logistic,adam,F2,0,4000,0,4000,0.2962357100460038,0.2866798263992124,0.3077510638644533,-0.4343853296740666,0.30055487824475435
logistic,adam,F2,1,4000,0,4000,0.26901799083512223,0.2647892296638956,0.2730704223757523,-0.5440046201202922,0.2639552849915006
logistic,adam,F2,2,4000,0,4000,0.2603662476108911,0.2567968671340333,0.26242694754345197,-0.527297667692301,0.25511384452866237
logistic,adam,F2,3,4000,0,4000,0.29865605259287464,0.2829462478047431,0.3277896971384092,-0.5051755173961674,0.27760770689080294
logistic,adam,F2,4,4000,0,4000,0.1675724058623972,0.1530748517724383,0.16924094332428827,-0.7496544665807657,0.14866145650463086
logistic,adam,F2,5,4000,0,4000,0.21093455906308664,0.1947991055505337,0.2234103938598947,-0.6351051716394092,0.1934089782184773
logistic,adam,F2,6,4000,0,4000,0.35603539056071376,0.33050930222271,0.36410709544556746,-0.45487697253903686,0.32140826221657315
logistic,adam,F2,7,4000,0,4000,0.12166673870474717,0.11404044357740802,0.13036436287845893,-0.7283913068702496,0.11330768543681641
logistic,adam,F3,0,4000,0,4000,0.2857909860745793,0.27761916036009093,0.3044754676548415,-0.4364606345127605,0.29011948326134157
logistic,adam,F3,1,4000,0,4000,0.2417615823917798,0.238697416405458,0.24605644287695408,-0.5797663242461261,0.23737234227637818
logistic,adam,F3,2,4000,0,4000,0.2555208025918614,0.2515876037333107,0.2591220182142042,-0.5368192539745894,0.25304545317770166
logistic,adam,F3,3,4000,0,4000,0.2833609880318596,0.26688370372351333,0.30731404499496934,-0.5171100216520599,0.2644950391436104
logistic,adam,F3,4,4000,0,4000,0.1678481657491038,0.15332901190643705,0.16970189294916277,-0.7278063332804247,0.14979338308637422
logistic,adam,F3,5,4000,0,4000,0.21055550349002106,0.19866329542758487,0.2198889011202856,-0.6443932407035825,0.19824974151243566
logistic,adam,F3,6,4000,0,4000,0.346584968317031,0.3253588509601149,0.354290712815415,-0.4721602980818148,0.3212183548353019
logistic,adam,F3,7,4000,0,4000,0.12595967765794905,0.12112525064079308,0.1351036684495179,-0.7377288990733825,0.1211260367741391
logistic,adam,F4,0,4000,0,4000,0.28595693706164405,0.2763820527121851,0.3041733188788538,-0.4357697261092775,0.28549300240543674
logistic,adam,F4,1,4000,0,4000,0.2609543515237341,0.25548378860795246,0.26304364820151804,-0.5563982478847735,0.2541090813871497
logistic,adam,F4,2,4000,0,4000,0.2521763895204472,0.2488981932428852,0.25586294952644684,-0.5431568169561831,0.2484763060967363
logistic,adam,F4,3,4000,0,4000,0.2944516542417631,0.27937500331822246,0.32050871407525616,-0.5104150856220288,0.2754812940467557
logistic,adam,F4,4,4000,0,4000,0.1659758689447597,0.15233838543411443,0.16929682044163888,-0.7401051930943151,0.14754761708816905
logistic,adam,F4,5,4000,0,4000,0.2053357959259293,0.19434760374993695,0.2210070890722434,-0.6446868895461894,0.193769990473916
logistic,adam,F4,6,4000,0,4000,0.34667497101731826,0.32345194235939645,0.3565402728340807,-0.46403333085224496,0.3159056699257941
logistic,adam,F4,7,4000,0,4000,0.12649509511309776,0.11758589939114035,0.13442147826143278,-0.7246537631572288,0.11724867902253173
logistic,adam,F5,0,4000,0,4000,0.2947382764710196,0.2851998192332607,0.306998620585717,-0.43542056174438604,0.29726495975115347
logistic,adam,F5,1,4000,0,4000,0.27211722541111916,0.2665055578371485,0.2756843885816328,-0.5414739590491144,0.2671177925297865
logistic,adam,F5,2,4000,0,4000,0.2584174147978849,0.25574781775808897,0.26093690180309514,-0.5319841723618516,0.25423237079086086
logistic,adam,F5,3,4000,0,4000,0.29953375202946,0.28388989615161664,0.32899117607819206,-0.5053474482478835,0.27868617285904684
logistic,adam,F5,4,4000,0,4000,0.1669161987207854,0.15361599017068409,0.16846277337576943,-0.7498111915614556,0.14913521012420033
logistic,adam,F5,5,4000,0,4000,0.20998152984310303,0.1932179672168281,0.22261851552931614,-0.6387882549141123,0.19219414431055779
